TICKETS,FECHA,ZONAS,SUCURSALES,TECNICO REFERENTE,TRABAJO,PRIORIDAD,RUBRO,ESTADO,,CHECKLIST,TICKET RELACIONADO,OBSERVACIONES,RESPONSABLE,PRESUPUESTO,N PRESUP,IMAGEN,DIRECCION
1121-55796,18/11/2021,CABA,CDD 23,Aquino Diego Daniel,Trabajos varios,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PjPd-vsjds5PlI2FCQtIiQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=297.5941&pitch=0&thumbfov=100,"La Rioja 1189, C1221ACM CABA*"
1121-55797,18/11/2021,CABA,CDD 28,Aquino Diego Daniel,Puerta de ingreso,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=14A-qhUz_cYp4lQImVyGtg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=50.51719&pitch=0&thumbfov=100,"Av. Cabildo 2349, C1428AAF CABA"
1121-55798,18/11/2021,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Placas de techo/Eduardo Alvarez,Normal,CIVIL,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1121-55799,18/11/2021,CABA,Recoleta,Aquino Diego Daniel,Buzón,Emerg prog,CIVIL,REALIZADO,,,,,,,,https://argentinafirm.com/photo/85223.jpg,"Av. Callao 1577, C1024 CABA"
1121-55800,18/11/2021,NORTE,Victoria,Cuello Francisco Waldemar,Problema eléctrico,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E8pXsXiZ08f9Sjf0CFJPuQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=199.98686&pitch=0&thumbfov=100,"Av. Pres. Juan Domingo Perón 2579, B1644 Victoria, Provincia de Buenos Aires"
1121-55801,18/11/2021,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Pintar vallas de playa/Astudillo,Normal,CIVIL,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1121-55802,19/11/2021,CABA,Villa Urquiza,Aquino Diego Daniel,Pasa encomiendas,Normal,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uumhUc7LRrXN3Udl3AMh7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=152.50993&pitch=0&thumbfov=100,"Av. Monroe 5254, Buenos Aires"
1121-55803,19/11/2021,EDIFICIOS,Sede Central Operativa Mte. Grande 2,Almiron Sergio Octavio,Mochilas y canillas/Paz Da Rosa,Normal,SANITARIO,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPRDsDRKY7-qobCtJjGtH2p0PHsFOqDpS8tbGF7=w426-h240-k-no,"Av. V. Fair 1398-1300, El Jagüel, Provincia de Buenos Aires"
1121-55804,19/11/2021,EDIFICIOS,Sede Central Operativa Mte. Grande 2,Almiron Sergio Octavio,Tomas y llaves punto/Gruppi,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPRDsDRKY7-qobCtJjGtH2p0PHsFOqDpS8tbGF7=w426-h240-k-no,"Av. V. Fair 1398-1300, El Jagüel, Provincia de Buenos Aires"
1121-55805,19/11/2021,CABA,CDD 6,Aquino Diego Daniel,Luminaría se desprendio del durlock,Emerg prog,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_WtvQaH7MXv6trBlZlm4Cg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=351.94147&pitch=0&thumbfov=100,Av. Juan Bautista Alberdi 3177 B1406 Buenos Aires
1121-55806,19/11/2021,EDIFICIOS,Edificio French,Aquino Diego Daniel,Cerrajería/Juan Cayetano Serra,Normal,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1121-55807,23/11/2021,EDIFICIOS,Sede Central Operativa Mte. Grande 2,Almiron Sergio Octavio,Luminarias baño damas/Maria Suarez,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPRDsDRKY7-qobCtJjGtH2p0PHsFOqDpS8tbGF7=w426-h240-k-no,"Av. V. Fair 1398-1300, El Jagüel, Provincia de Buenos Aires"
1121-55808,23/11/2021,CABA,Villa Urquiza,Aquino Diego Daniel,Buzón,Emerg prog,CIVIL,REALIZADO,,,,presup. aprob.,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uumhUc7LRrXN3Udl3AMh7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=152.50993&pitch=0&thumbfov=100,"Av. Monroe 5254, Buenos Aires"
1121-55809,23/11/2021,OESTE,San justo,Encalada Roberto Nahuel,Ventiladores,Emerg prog,CIVIL,REALIZADO,,,,presup. aprob.,,,,https://lh5.googleusercontent.com/p/AF1QipND-sedo6PM6xgMCiOtrywX6-aJ6fDEU_CqIikT=w408-h306-k-no,"Almafuerte 3171, B1754 San Justo, Provincia de Buenos Aires"
1121-55810,23/11/2021,NORTE,Olivos,Cuello Francisco Waldemar,"Ventilador, piso, rejilla y extractor",Normal,VARIOS,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6Gl-n6KZrUBsZYsK8G_PHCL3SRq1pUB6-lvr5=w408-h544-k-no,"Av. Maipú 2683, B1636 Olivos, Provincia de Buenos Aires"
1121-55811,23/11/2021,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Reparar defensa/darsena 49/Nahuel Mussin,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1121-55812,23/11/2021,EDIFICIOS,Sede Central Operativa Mte. Grande 2,Almiron Sergio Octavio,Goteras/Paza Da Rosa,Emerg. Alta,CIVIL,REALIZADO,,,,presup. aprob.,,,,https://lh5.googleusercontent.com/p/AF1QipPRDsDRKY7-qobCtJjGtH2p0PHsFOqDpS8tbGF7=w426-h240-k-no,"Av. V. Fair 1398-1300, El Jagüel, Provincia de Buenos Aires"
1121-55813,23/11/2021,CABA,Villa del Parque,Aquino Diego Daniel,Luminarias,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N9GcHjdJZZRlvlPklGoiVQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.31091&pitch=0&thumbfov=100,"Helguera 2901, C1417CQO CABA"
1121-55814,23/11/2021,EDIFICIOS,Edificio French,Aquino Diego Daniel,Escritorios/VER E-MAIL,Emerg prog,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1121-55815,23/11/2021,CABA,Tribunales,Aquino Diego Daniel,Pegar vidrio,Normal,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/proxy/v4e1LJxknRKrdyzgfIx2aIRPPrlesu6yQc3DR6JhMkt29lf0O98KC81o4iH0T2OLYb65SD8dNCHksL1oOiRpnaIB4-KEEFLkncZZEfYdk5szeyhuln6wtv9Qe8wznYtw6bQ50CQ_qqZlz0hPvqwH4ZkHXUH-cVRP8g6-R_pSBOrQ=w427-h240-k-no,"Paraná 777, C1017 CABA"
1121-55816,23/11/2021,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Luces/Agustin Napal,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1121-55817,23/11/2021,SUR,CDD J. C. Paz,Encalada Roberto Nahuel,Fotocelula,Emerg prog,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gqiAYJ30mWvbala4Wi3aRA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=247.6145&pitch=0&thumbfov=100,"Roque Sáenz Peña no 5009, José C. Paz, Provincia de Buenos Aires"
1121-55818,23/11/2021,CABA,Plaza Italia,Aquino Diego Daniel,A.A.S,Emerg prog,ELECTRICIDAD,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipO9ASNao3T3sFLwJ-p0cWHU3NcbngrOqXRpocBx=w408-h544-k-no,"Av. Santa Fe 3882, C1425 CABA"
1121-55819,23/11/2021,NORTE,CDD San Fernando,Cuello Francisco Waldemar,Baño,Emerg prog,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=skSeLQuUHjs4YTdd3XlSJw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=34.767384&pitch=0&thumbfov=100,"Avenida Presidente Perón 724, San Fernando, Provincia de Buenos Aires"
1121-55820,23/11/2021,EDIFICIOS,Edificio San Juan,Jara Benitez Rodrigo,Cerrajeria/Pablo Fernandez,Normal,CIVIL,REALIZADO,,,,,,,,https://lh6.googleusercontent.com/proxy/_j5wVQyxbAzZAExEu-tTNIbydUsb9EBBxir9evHAHdzy4P15MU3qQ4THCZJLug2FSzw7Ejt7494yWQ2RhudQlH3ZcJaKgy_j7r8CbC-6suQgEHhtSgJRkAiQhiDvuEdJSg9qE1RxTcQfQv2xPwHyeqleS1nuLC93LRwdTCm4o8v2=w408-h306-k-no,"Av. San Juan 1349, C1148 CABA"
1121-55821,23/11/2021,SUR,Turdera,Sarmiento Ariel,Deposito,Emerg prog,SANITARIO,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipObwQAaBuK6qauepKIKA2TYj0UbBJTnY70AIABb=w426-h240-k-no,"Av, Antártida Argentina 45, B1833 Turdera, Provincia de Buenos Aires"
1121-55822,24/11/2021,EDIFICIOS,Sede Central Operativa Mte. Grande 2,Almiron Sergio Octavio,Lámpara/Sergio Corsi,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPRDsDRKY7-qobCtJjGtH2p0PHsFOqDpS8tbGF7=w426-h240-k-no,"Av. V. Fair 1398-1300, El Jagüel, Provincia de Buenos Aires"
1121-55823,24/11/2021,EDIFICIOS,Edificio French,Aquino Diego Daniel,Puerta/Maria Tombuer,Normal,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1121-55824,24/11/2021,CABA,CDD 5,Aquino Diego Daniel,Flexible bacha baño,Emerg. Alta,SANITARIO,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_XkwP-pyZ8Quh0eiRjIA3A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=329.48444&pitch=0&thumbfov=100,"Antonio Machado 649, C1405DIC CABA"
1121-55825,24/11/2021,CABA,CDD 6,Aquino Diego Daniel,Tubos,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_WtvQaH7MXv6trBlZlm4Cg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=351.94147&pitch=0&thumbfov=100,Av. Juan Bautista Alberdi 3177 B1406 Buenos Aires
1121-55826,24/11/2021,OESTE,Paso del Rey,Encalada Roberto Nahuel,Cortina,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOy_7rzgToUY6Yp6SVam7kl0GscUyYuMFm_d_jt=w408-h503-k-no,"Dr, Salvador María del Carril 52, B1742 Paso del Rey, Provincia de Buenos Aires"
1121-55827,24/11/2021,CABA,CDD 23,Aquino Diego Daniel,Tubos y persiana,Normal,VARIOS,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PjPd-vsjds5PlI2FCQtIiQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=297.5941&pitch=0&thumbfov=100,"La Rioja 1189, C1221ACM CABA*"
1121-55828,24/11/2021,EDIFICIOS,Edificio French,Aquino Diego Daniel,Mueble/Hernan Marti,Normal,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1121-55829,24/11/2021,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Mochila y sin luz (baños)-Mesa Administrativa CPI,Emerg prog,VARIOS,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1121-55830,24/11/2021,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Carros de La Tablada,Normal,CIVIL,REALIZADO,,,,,,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
1121-55831,24/11/2021,CABA,CDD 12,Aquino Diego Daniel,Trasladar luminarias,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Yn9timrFkP1MgByJnx5ODg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=295.00632&pitch=0&thumbfov=100,Av. Pueyrredón 1352 C1118*AAQ CABA
1121-55832,24/11/2021,NORTE,CDD Zarate,Cuello Francisco Waldemar,Portero,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CPG_syK4z8G0wEMuQkq52g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=84.09735&pitch=0&thumbfov=100,"Dr. Félix Pagola 35, B2800 Zárate, Provincia de Buenos Aires"
1121-55833,24/11/2021,NORTE,Olivos,Cuello Francisco Waldemar,Desconectar UPS,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6Gl-n6KZrUBsZYsK8G_PHCL3SRq1pUB6-lvr5=w408-h544-k-no,"Av. Maipú 2683, B1636 Olivos, Provincia de Buenos Aires"
1121-55834,24/11/2021,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Tomas/CTPBUEAdminCla,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1121-55835,25/11/2021,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Cerrajeria/Analia Coronel,Normal,CIVIL,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1121-55836,25/11/2021,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Cerrajeria/Juan Grimaldi,Normal,CIVIL,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1121-55837,25/11/2021,CABA,Abasto,Aquino Diego Daniel,Vano/Lanzoni del sector judiciales,Normal,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7iDLN9ukuGxTUEDuSsQOGg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=196.8028&pitch=0&thumbfov=100,"Av. Corrientes 3702, C1194AAQ CABA"
1121-55838,25/11/2021,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Sillas de sucursales de la zona 4 (VER E-MAIL)-Rispal,Normal,CIVIL,REALIZADO,,,,,,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
1121-55839,25/11/2021,SUR,Temperley,Sarmiento Ariel,"Tubos, engrasar persianas y trasladr ventilador de pared",Normal,VARIOS,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dPYdFqlV9_uckv32dh_QCQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=39.45849&pitch=0&thumbfov=100,"Av. Almte. Brown 3394, Temperley, Provincia de Buenos Aires"
1121-55840,25/11/2021,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Sillas de Villa Bosch y San Martin,Normal,CIVIL,REALIZADO,,,,,,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
1121-55841,25/11/2021,SUR,La Tablada,Encalada Roberto Nahuel,Pileta de la cocina,Emerg prog,SANITARIO,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tVzbaGmsc4CYCS7oCrVoEw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=327.75244&pitch=0&thumbfov=100,"CBC, Av. Crovara 3035, B1766 La Tablada, Provincia de Buenos Aires"
1121-55842,25/11/2021,OESTE,Libertad,Encalada Roberto Nahuel,Rejilla de la vereda,Emerg prog,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOp65Evb_xnwvm9svjn81eiAf3402XSK3GyDaJu=w408-h306-k-no,"Libertad Buenos Aires AR, Juan B. Justo 2670, B1716 OKZ"
1121-55844,25/11/2021,SUR,CDD Berazategui,Sarmiento Ariel,Filtración baño dama,Emerg prog,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LeMpiJHHDELBHFftisdwWQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.52043&pitch=0&thumbfov=100,"Av. Rigolleau 4457, B1884 Berazategui, Provincia de Buenos Aires"
1121-55845,25/11/2021,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Inodoro/Jesica Monte,Emerg prog,SANITARIO,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1121-55848,25/11/2021,NORTE,CDD San Miguel,Encalada Roberto Nahuel,Anti deslizantes en escalera,Emerg prog,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZPWub2nJ8CUWyEcbIua0lw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=311.23642&pitch=0&thumbfov=100,"Belgrano 1374, B1663NMA San Miguel, Provincia de Buenos Aires"
1121-55849,25/11/2021,OESTE,Libertad,Encalada Roberto Nahuel,A.A.,Emerg prog,ELECTRICIDAD,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOp65Evb_xnwvm9svjn81eiAf3402XSK3GyDaJu=w408-h306-k-no,"Libertad Buenos Aires AR, Juan B. Justo 2670, B1716 OKZ"
1121-55850,25/11/2021,EDIFICIOS,Edificio French,Aquino Diego Daniel,Cerrajeria/Esmeryan,Normal,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1121-55851,25/11/2021,CABA,Mataderos,Aquino Diego Daniel,Goteras,Emerg prog,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q9XDa3VEG-5NabzpCcVPUA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=121.62951&pitch=0&thumbfov=100,Av. Juan Bautista Alberdi 5924 C1440AAX CABA
1121-55852,25/11/2021,SUR,CDD Almirante Brown,Sarmiento Ariel,Olor a gas,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=M6opLuRCUY057Z-r9yCY6A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=139.07584&pitch=0&thumbfov=100,"Francisco Seguí 880, B1846DSR Adrogué, Provincia de Buenos Aires"
1121-55843,26/11/2021,OESTE,Libertad,Encalada Roberto Nahuel,Traba a puerta de tablero,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOp65Evb_xnwvm9svjn81eiAf3402XSK3GyDaJu=w408-h306-k-no,"Libertad Buenos Aires AR, Juan B. Justo 2670, B1716 OKZ"
1121-55853,26/11/2021,CABA,San Telmo,Aquino Diego Daniel,Cables sueltos y tubos,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOQY1ygS9bAHZiCvt_a-_qFspDzKepOchZ0X4nC=w408-h544-k-no,"Dr, Bernardo de Irigoyen 698, C1072 CABA"
1121-55854,26/11/2021,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Tubos/Natalia Cabrera,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1121-55855,26/11/2021,CABA,Parque Centenario,Aquino Diego Daniel,Armario y estante,Normal,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vClAk8bxr0i4O_tqBsUfTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=155.2064&pitch=0&thumbfov=100,"Av. Angel Gallardo 756, C1405DJU CABA"
1121-55856,26/11/2021,SUR,Parque Centenario,Aquino Diego Daniel,Buzón,Normal,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vClAk8bxr0i4O_tqBsUfTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=155.2064&pitch=0&thumbfov=100,"Av. Angel Gallardo 756, C1405DJU CABA"
1121-55857,26/11/2021,EDIFICIOS,Central Operativa Mte. Grande,Almiron Sergio Octavio,Cerrajeria/Leonel Melvern,Normal,CIVIL,REALIZADO,,,,,,,,https://silvestrijuanpablo.files.wordpress.com/2020/03/correo-monte-grande-4.jpeg?w=1024,"Av. V. Fair 1101, B1842 Monte Grande, Provincia de Buenos Aires"
1121-55858,26/11/2021,CABA,CDD 33,Aquino Diego Daniel,Repisa,Normal,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Osr_UqBMmkWTy0-DvUNgYA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=242.5322&pitch=0&thumbfov=100,José Aarón Salmún Feijóo 555 C1274AGE CABA
1121-55859,26/11/2021,EDIFICIOS,Edificio French,Aquino Diego Daniel,Baños/Pandolfini,Emerg prog,SANITARIO,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipM6IKo4-50uwWYTCYaDWGBcmyX2K9MSTehO1TSl=w408-h725-k-no,"Brandsen 2070, C1295 CABA"
1121-55860,26/11/2021,SUR,Ezeiza,Sarmiento Ariel,Salta la termica,Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ML8pmZyj6X2hFuJ9eZzDoA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=231.9788&pitch=0&thumbfov=100,"French 198, B1804 Ezeiza, Provincia de Buenos Aires"
1121-55861,26/11/2021,SUR,Glew,Sarmiento Ariel,Sin agua,Emerg. Alta,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-B3SykaoAuiEVkIwQg2t_w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=139.06609&pitch=0&thumbfov=100,"Sarmiento 50, B1856CJB Glew, Provincia de Buenos Aires"
1121-55862,26/11/2021,EDIFICIOS,Planta Retiro,Jara Benitez Rodrigo,Cisterna/Pablo Gonzalez (gente de Vecchio),Emerg. Alta,ELECTRICIDAD,REALIZADO,,,,,,,,SUC_Images/8.IMAGEN.024956.png,"Av. Antártida Argentina 1100, C1104 CABA"
1121-55863,26/11/2021,NORTE,José C. Paz,Encalada Roberto Nahuel,Tubos,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gqiAYJ30mWvbala4Wi3aRA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=247.6145&pitch=0&thumbfov=100,"Roque Sáenz Peña 5009, B1665 José C. Paz, Provincia de Buenos Aires"
1121-55846,27/11/2021,CABA,Centro Distrib. Espec. Mte. Castro,Aquino Diego Daniel,Puerta/Almiron,Normal,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zgh3DSTZsTiXh7Yqr7IoeA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.03868&pitch=0&thumbfov=100,"4799, C1417GAQ, Marcos Sastre 4751, C1417GAQ CABA"
1121-55847,28/11/2021,OESTE,CDD Morón,Encalada Roberto Nahuel,Filtración,Emerg prog,CIVIL,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XTLs7xW8AKbn_6tXGOALqg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=337.12897&pitch=0&thumbfov=100,"República Oriental del Uruguay 346, B1708JFH Morón, Provincia de Buenos Aires"
1121-55864,29/11/2021,CABA,Congreso,Aquino Diego Daniel,Desagues/canaletas-VER E-MAIL,Normal,VARIOS,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pFCzgIjJa84-tbKM7DMFhg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=110.51507&pitch=0&thumbfov=100,"Av. Callao 131, C1022 CABA"
1121-55865,29/11/2021,SUR,CDD Berazategui,Sarmiento Ariel,Luces de emergencia,Normal,ELECTRICIDAD,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LeMpiJHHDELBHFftisdwWQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=166.52043&pitch=0&thumbfov=100,"Av. Rigolleau 4457, B1884 Berazategui, Provincia de Buenos Aires"
1121-55866,29/11/2021,OESTE,Agencia Fco. Alvarez,Encalada Roberto Nahuel,Colocar dispenser alcohol en gel y cartelera,Normal,CIVIL,REALIZADO,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipODCsca5gDnVgcxQPSTpjLA82Za2sag46Ttqlss=w408-h725-k-no,"Diario la Nacion 2052, B1746 Francisco Alvarez, Provincia de Buenos Aires"
1121-55867,29/11/2021,CABA,CDD 17,Aquino Diego Daniel,De nuevo problemas con flexible,Emerg prog,SANITARIO,REALIZADO,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N9GcHjdJZZRlvlPklGoiVQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=62.31091&pitch=0&thumbfov=100,"Helguera 2901, C1417CQO CABA"
